Role,Experience_Years,Salary_INR_LPA,Location,Tech_Stack,Employment_Type
QA Engineer,13,23,Noida,"Rust, WebAssembly",Full-Time
Mobile App Developer,8,32,Noida,"Flutter, React Native",Full-Time
Senior Software Engineer,5,18,Mumbai,"Python, ML",Full-Time
Security Engineer,14,8,Kochi,"React, TypeScript",Full-Time
DevOps Engineer,5,35,Gurgaon,"TensorFlow, PyTorch",Full-Time
Backend Developer,11,15,Jaipur,"Figma, Adobe XD",Full-Time
QA Engineer,10,14,Kochi,"Java, Spring",Full-Time
Backend Developer,6,12,Noida,"Java, Spring",Full-Time
Data Scientist,5,15,Chennai,"Java, Spring",Full-Time
AI Engineer,12,16,Hyderabad,"Flutter, React Native",Full-Time
QA Engineer,12,40,Hyderabad,"Figma, Adobe XD",Full-Time
Security Engineer,9,34,Hyderabad,"Flutter, React Native",Full-Time
Frontend Developer,4,25,Mumbai,"Figma, Adobe XD",Full-Time
Frontend Developer,6,31,Chennai,"Java, Spring",Full-Time
QA Engineer,10,27,Noida,"Java, Spring",Full-Time
Backend Developer,5,26,Noida,"AWS, Docker, Kubernetes",Full-Time
UI/UX Designer,7,24,Jaipur,"React, TypeScript",Full-Time
Cloud Architect,14,6,Noida,"GCP, BigQuery",Full-Time
Security Engineer,1,35,Gurgaon,"Java, Spring",Full-Time
QA Engineer,13,31,Gurgaon,"React, TypeScript",Full-Time
Scrum Master,2,20,Hyderabad,"React, TypeScript",Full-Time
UI/UX Designer,9,23,Jaipur,"Selenium, Appium",Full-Time
Software Engineer,7,32,Bangalore,"Rust, WebAssembly",Full-Time
Mobile App Developer,14,37,Noida,"Azure, Terraform",Full-Time
Project Manager,8,39,Bangalore,"Flutter, React Native",Full-Time
Frontend Developer,6,34,Pune,"Java, Spring",Full-Time
Security Engineer,12,23,Ahmedabad,"React, TypeScript",Full-Time
Frontend Developer,11,25,Gurgaon,"TensorFlow, PyTorch",Full-Time
UI/UX Designer,4,28,Hyderabad,"AWS, Docker, Kubernetes",Full-Time
UI/UX Designer,6,27,Pune,"TensorFlow, PyTorch",Full-Time
Mobile App Developer,6,34,Pune,"Flutter, React Native",Full-Time
QA Engineer,5,38,Mumbai,"Figma, Adobe XD",Full-Time
AI Engineer,3,18,Noida,"AWS, Docker, Kubernetes",Full-Time
