source_id,source_type,category,priority,technical_details,suggested_title
SR001,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR002,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR003,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR004,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR005,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR006,app_store,Bug,High,"Platform: App Store, App Version: 2.1.3.",Bug: Issue reported in Shoppy app
SR007,app_store,Bug,High,"Platform: Google Play, App Version: 3.0.1.",Bug: Issue reported in Shoppy app
SR008,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR009,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR010,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR011,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR012,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR013,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR014,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR015,app_store,Praise,Low,,Praise: Issue reported in Shoppy app
SR016,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR017,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR018,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR019,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR020,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR021,app_store,Bug,High,"Platform: Google Play, App Version: 3.0.0.",Bug: Issue reported in Shoppy app
SR022,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR023,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR024,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR025,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR026,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR027,app_store,Complaint,Medium,,Complaint: Issue reported in Shoppy app
SR028,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR029,app_store,Bug,High,"Platform: App Store, App Version: 2.2.0.",Bug: Issue reported in Shoppy app
SR030,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR031,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR032,app_store,Complaint,Medium,,Complaint: Issue reported in Shoppy app
SR033,app_store,Complaint,Medium,,Complaint: Issue reported in Shoppy app
SR034,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR035,app_store,Complaint,Medium,,Complaint: Issue reported in Shoppy app
SR036,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR037,app_store,Complaint,Medium,,Complaint: Issue reported in Shoppy app
SR038,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR039,app_store,Bug,High,"Platform: App Store, App Version: 3.0.1.",Bug: Issue reported in Shoppy app
SR040,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR041,app_store,Bug,Critical,"Platform: Google Play, App Version: 2.5.1.",Bug: Issue reported in Shoppy app
SR042,app_store,Praise,Low,,Praise: Issue reported in Shoppy app
SR043,app_store,Bug,High,"Platform: App Store, App Version: 2.5.1.",Bug: Issue reported in Shoppy app
SR044,app_store,Bug,Critical,"Platform: App Store, App Version: 2.1.3.",Bug: Issue reported in Shoppy app
SR045,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR046,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR047,app_store,Spam,Low,,Spam: Issue reported in Shoppy app
SR048,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SR049,app_store,Feature Request,Medium,,Feature Request: Issue reported in Shoppy app
SR050,app_store,Complaint,Low,,Complaint: Issue reported in Shoppy app
SE001,support_email,Complaint,Low,,Complaint: Login Issue
SE002,support_email,Bug,High,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Refund Delay
SE003,support_email,Complaint,Medium,,Complaint: Suggestion for Improvement
SE004,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Feature Request: Dark Mode
SE005,support_email,Feature Request,Low,,Feature Request: General Feedback
SE006,support_email,Feature Request,Low,,Feature Request: Poor Support Experience
SE007,support_email,Complaint,Low,,Complaint: Poor Support Experience
SE008,support_email,Feature Request,High,,Feature Request: Feature Request: Dark Mode
SE009,support_email,Bug,High,"Hello Team, I cannot login to my Shoppy account since the last update. Device: iPhone 13, iOS 17. Please investigate.",Bug: Suggestion for Improvement
SE010,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Suggestion for Improvement
SE011,support_email,Complaint,High,,Complaint: General Feedback
SE012,support_email,Bug,Medium,"Hello Team, I cannot login to my Shoppy account since the last update. Device: iPhone 13, iOS 17. Please investigate.",Bug: Refund Delay
SE013,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Data Loss Problem
SE014,support_email,Complaint,Low,,Complaint: Login Issue
